rank_number	rank_desc	channel_code	channel_name	region_code	region_name	province_code	province_name	city_group_code	city_group_name	supervisor_id	supervisor_work_no	supervisor_name	business_type_code	business_type_name	new_tranc_cust_cnt	sales_value	sales_value_share	profit	profit_rate	operating_profit	month	date_mark
2	省区	1	大客户	4	华北大区	26	陕西省	17	西安市				10	福利小店		100000		10204.08163	0.102040816		202601	M
2	省区	1	大客户	4	华北大区	26	陕西省	17	西安市				1	日配业务		14700000		1854228.856	0.126138017		202601	M
2	省区	7	企业购	1	华东大区	11	安徽省	45	阜阳市				6	BBC		400000		64000	0.16		202601	M
2	省区	7	企业购	1	华东大区	11	安徽省	14	合肥市				6	BBC		3000000		296999.9999	0.099		202601	M
2	省区	2	商超	1	华东大区	11	安徽省	45	阜阳市				9	商超		0		0	0		202601	M
2	省区	2	商超	1	华东大区	11	安徽省	14	合肥市				9	商超		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	11	安徽省	45	阜阳市				2	福利业务		400000		48000	0.12		202601	M
2	省区	1	大客户	1	华东大区	11	安徽省	14	合肥市				2	福利业务		6000000		636000	0.106		202601	M
2	省区	1	大客户	1	华东大区	11	安徽省	45	阜阳市				10	福利小店		250000		12500	0.05		202601	M
2	省区	1	大客户	1	华东大区	11	安徽省	14	合肥市				10	福利小店		1000000		111900	0.1119		202601	M
2	省区	1	大客户	1	华东大区	11	安徽省	45	阜阳市				1	日配业务		6100000		790864.8001	0.129649967		202601	M
2	省区	1	大客户	1	华东大区	11	安徽省	14	合肥市				1	日配业务		17400000		2496236.001	0.143461839		202601	M
2	省区	7	企业购	1	华东大区	18	湖北省	32	武汉市				6	BBC		800000		133333.3333	0.166666667		202601	M
2	省区	2	商超	1	华东大区	18	湖北省	32	武汉市				9	商超		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	18	湖北省	32	武汉市				2	福利业务		600000		66666.66667	0.111111111		202601	M
2	省区	1	大客户	1	华东大区	18	湖北省	32	武汉市				10	福利小店		200000		10000	0.05		202601	M
2	省区	1	大客户	1	华东大区	18	湖北省	32	武汉市				1	日配业务		4900000		712105.2632	0.145327605		202601	M
2	省区	7	企业购	1	华东大区	902	江苏南京	6	南京主城				6	BBC		4000000		575959.9994	0.14399		202601	M
2	省区	7	企业购	1	华东大区	902	江苏南京	41	江苏盐城				6	BBC		200000		20020.0002	0.100100001		202601	M
2	省区	2	商超	1	华东大区	902	江苏南京	6	南京主城				9	商超		0		0	0		202601	M
2	省区	2	商超	1	华东大区	902	江苏南京	41	江苏盐城				9	商超		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	902	江苏南京	6	南京主城				2	福利业务		4000000		377520.0005	0.09438		202601	M
2	省区	1	大客户	1	华东大区	902	江苏南京	41	江苏盐城				2	福利业务		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	902	江苏南京	6	南京主城				10	福利小店		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	902	江苏南京	41	江苏盐城				10	福利小店		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	902	江苏南京	6	南京主城				1	日配业务		20000000		2899980.798	0.14499904		202601	M
2	省区	1	大客户	1	华东大区	902	江苏南京	41	江苏盐城				1	日配业务		2000000		230000.004	0.115000002		202601	M
2	省区	7	企业购	1	华东大区	904	上海	0	嘉兴				6	BBC		200000		27027.02703	0.135135135		202601	M
2	省区	7	企业购	1	华东大区	904	上海	35	上海松江				6	BBC		3500000		540006.7887	0.154287654		202601	M
2	省区	2	商超	1	华东大区	904	上海	0	嘉兴				9	商超		0		0	0		202601	M
2	省区	2	商超	1	华东大区	904	上海	35	上海松江				9	商超		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	904	上海	0	嘉兴				2	福利业务		1300000		165009.8068	0.126930621		202601	M
2	省区	1	大客户	1	华东大区	904	上海	35	上海松江				2	福利业务		1500000		176004.6935	0.117336462		202601	M
2	省区	1	大客户	1	华东大区	904	上海	0	嘉兴				10	福利小店		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	904	上海	35	上海松江				10	福利小店		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	904	上海	0	嘉兴				1	日配业务		2000000		239086.6168	0.119543308		202601	M
2	省区	1	大客户	1	华东大区	904	上海	35	上海松江				1	日配业务		7500000		1320727.766	0.176097035		202601	M
2	省区	7	企业购	1	华东大区	904	上海	7	江苏苏州				6	BBC		1400000		228188.9764	0.162992126		202601	M
2	省区	2	商超	1	华东大区	904	上海	7	江苏苏州				9	商超		0		0	0		202601	M
2	省区	1	大客户	1	华东大区	904	上海	7	江苏苏州				2	福利业务		1900000		138439.0244	0.072862644		202601	M
2	省区	1	大客户	1	华东大区	904	上海	7	江苏苏州				10	福利小店		0		0	0		202601	M
